,GAME_ID,MATCHUP
0,0022000001,BKN vs. GSW
1,0022000002,LAC @ LAL
2,0022000002,LAL vs. LAC
3,0022000001,GSW @ BKN
4,0022000020,UTA @ POR
5,0022000015,CHI vs. ATL
6,0022000003,BOS vs. MIL
7,0022000003,MIL @ BOS
8,0022000018,DET @ MIN
9,0022000018,MIN vs. DET
10,0022000020,POR vs. UTA
11,0022000011,NYK @ IND
12,0022000011,IND vs. NYK
13,0022000015,ATL @ CHI
14,0022000013,WAS @ PHI
15,0022000004,PHX vs. DAL
16,0022000004,DAL @ PHX
17,0022000012,MIA @ ORL
18,0022000019,SAC @ DEN
19,0022000019,DEN vs. SAC
20,0022000012,ORL vs. MIA
21,0022000017,MEM vs. SAS
22,0022000017,SAS @ MEM
23,0022000013,PHI vs. WAS
24,0022000014,NOP @ TOR
25,0022000010,CHA @ CLE
26,0022000010,CLE vs. CHA
27,0022000014,TOR vs. NOP
28,0022000006,MIL vs. GSW
29,0022000008,LAL vs. DAL
30,0022000008,DAL @ LAL
31,0022000005,MIA vs. NOP
32,0022000007,BKN @ BOS
33,0022000005,NOP @ MIA
34,0022000006,GSW @ MIL
35,0022000009,DEN vs. LAC
36,0022000009,LAC @ DEN
37,0022000007,BOS vs. BKN
38,0022000029,HOU @ POR
39,0022000029,POR vs. HOU
40,0022000021,MEM vs. ATL
41,0022000021,ATL @ MEM
42,0022000030,SAC vs. PHX
43,0022000030,PHX @ SAC
44,0022000024,ORL @ WAS
45,0022000024,WAS vs. ORL
46,0022000028,MIN @ UTA
47,0022000025,NYK vs. PHI
48,0022000028,UTA vs. MIN
49,0022000023,CLE @ DET
50,0022000023,DET vs. CLE
51,0022000027,TOR @ SAS
52,0022000022,OKC @ CHA
53,0022000027,SAS vs. TOR
54,0022000022,CHA vs. OKC
55,0022000025,PHI @ NYK
56,0022000026,IND @ CHI
57,0022000026,CHI vs. IND
58,0022000031,DAL @ LAC
59,0022000031,LAC vs. DAL
60,0022000035,CLE vs. PHI
61,0022000040,LAL vs. MIN
62,0022000037,BOS @ IND
63,0022000032,BKN @ CHA
64,0022000035,PHI @ CLE
65,0022000037,IND vs. BOS
66,0022000033,ORL @ WAS
67,0022000040,MIN @ LAL
68,0022000033,WAS vs. ORL
69,0022000032,CHA vs. BKN
70,0022000034,NOP vs. SAS
71,0022000034,SAS @ NOP
72,0022000038,GSW @ CHI
73,0022000038,CHI vs. GSW
74,0022000036,NYK vs. MIL
75,0022000039,SAC vs. PHX
76,0022000039,PHX @ SAC
77,0022000036,MIL @ NYK
78,0022000041,ATL vs. DET
79,0022000041,DET @ ATL
80,0022000042,BKN vs. MEM
81,0022000042,MEM @ BKN
82,0022000044,HOU @ DEN
83,0022000044,DEN vs. HOU
84,0022000043,OKC vs. UTA
85,0022000043,UTA @ OKC
86,0022000045,POR @ LAL
87,0022000045,LAL vs. POR
88,0022000050,CHI @ WAS
89,0022000050,WAS vs. CHI
90,0022000049,TOR @ PHI
91,0022000049,PHI vs. TOR
92,0022000046,NYK @ CLE
93,0022000046,CLE vs. NYK
94,0022000048,BOS @ IND
95,0022000047,GSW @ DET
96,0022000047,DET vs. GSW
97,0022000053,NOP @ PHX
98,0022000055,SAC vs. DEN
99,0022000055,DEN @ SAC
100,0022000052,ORL @ OKC
101,0022000053,PHX vs. NOP
102,0022000052,OKC vs. ORL
103,0022000054,LAC vs. MIN
104,0022000054,MIN @ LAC
105,0022000048,IND vs. BOS
106,0022000051,MIL @ MIA
107,0022000051,MIA vs. MIL
108,0022000061,POR @ LAC
109,0022000060,LAL @ SAS
110,0022000060,SAS vs. LAL
111,0022000057,BKN vs. ATL
112,0022000057,ATL @ BKN
113,0022000061,LAC vs. POR
114,0022000056,BOS vs. MEM
115,0022000059,DAL vs. CHA
116,0022000059,CHA @ DAL
117,0022000056,MEM @ BOS
118,0022000058,MIA vs. MIL
119,0022000058,MIL @ MIA
120,0022000065,HOU vs. SAC
121,0022000063,WAS vs. CHI
122,0022000065,SAC @ HOU
123,0022000067,OKC vs. NOP
124,0022000067,NOP @ OKC
125,0022000063,CHI @ WAS
126,0022000062,CLE @ IND
127,0022000062,IND vs. CLE
128,0022000066,NYK @ TOR
129,0022000066,TOR vs. NYK
130,0022000064,PHI @ ORL
131,0022000064,ORL vs. PHI
132,0022000068,UTA vs. PHX
133,0022000068,PHX @ UTA
134,0022000074,MIN vs. WAS
135,0022000074,WAS @ MIN
136,0022000071,DAL vs. MIA
137,0022000072,BKN vs. ATL
138,0022000072,ATL @ BKN
139,0022000075,SAS vs. LAL
140,0022000075,LAL @ SAS
141,0022000071,MIA @ DAL
142,0022000077,LAC @ UTA
143,0022000077,UTA vs. LAC
144,0022000070,BOS @ DET
145,0022000070,DET vs. BOS
146,0022000078,POR @ GSW
147,0022000078,GSW vs. POR
148,0022000076,PHX @ DEN
149,0022000076,DEN vs. PHX
150,0022000069,CHA vs. MEM
151,0022000069,MEM @ CHA
152,0022000073,MIL vs. CHI
153,0022000073,CHI @ MIL
154,0022000082,CHA @ PHI
155,0022000079,SAC @ HOU
156,0022000080,NYK @ IND
157,0022000079,HOU vs. SAC
158,0022000080,IND vs. NYK
159,0022000082,PHI vs. CHA
160,0022000083,CLE @ ATL
161,0022000083,ATL vs. CLE
162,0022000084,TOR @ NOP
163,0022000084,NOP vs. TOR
164,0022000081,OKC @ ORL
165,0022000081,ORL vs. OKC
166,0022000089,SAS vs. UTA
167,0022000092,GSW vs. POR
168,0022000086,BKN vs. WAS
169,0022000089,UTA @ SAS
170,0022000085,BOS @ DET
171,0022000092,POR @ GSW
172,0022000090,CHI vs. DAL
173,0022000090,DAL @ CHI
